arrivals;employment;expenditures;year;date;forecast
4684000;350583.0;2654000000;1995-01-01;2008-01-01;8948727.0
5186000;350583.0;3137000000;1996-01-01;2009-01-01;9718968.0
5170000;350583.0;3422000000;1997-01-01;2010-01-01;10203148.0
5898000;350583.0;3419000000;1998-01-01;2011-01-01;11758606.0
6026000;350583.0;3407000000;1999-01-01;2012-01-01;12281191.0
6001000;350583.0;3338000000;2000-01-01;2013-01-01;13289158.0
5908000;350583.0;3256000000;2001-01-01;2014-01-01;15381522.0
6550000;350583.0;3695000000;2002-01-01;2015-01-01;14484937.0
6640000;350583.0;6674000000;2003-01-01;2016-01-01;13917181.0
6815000;350583.0;7571000000;2004-01-01;2017-01-01;16136216.0
7518000;507385.0;8629000000;2005-01-01;2018-01-01;15699329.0
8509000;553713.0;9211000000;2006-01-01;2019-01-01;15400836.0
9208000;569677.0;10226000000;2007-01-01;2020-01-01;15033425.0
9729000;607000.0;9178000000;2008-01-01;2021-01-01;14747040.0
9532000;554000.0;8684000000;2009-01-01;2022-01-01;16489964.0
11303000;567300.0;10309000000;2010-01-01;2023-01-01;17275146.0
12097000;622900.0;10706000000;2011-01-01;2024-01-01;18244376.0
13069000;646400.0000000001;11202000000;2012-01-01;2025-01-01;19492506.0
14318000;657700.0;10468000000;2013-01-01;2026-01-01;19704233.0
14530000;681900.0000000001;10484000000;2014-01-01;2027-01-01;19126147.0
13952000;669599.9999999999;9140000000;2015-01-01;2028-01-01;20295120.0
15121000;705800.0;8807000000;2016-01-01;2029-01-01;20149111.0
14975000;681600.0;9706000000;2017-01-01;2030-01-01;20178109.0
15004000;739600.0;9789000000;2018-01-01;2031-01-01;19971108.0
14797000;350583.0;9064000000;2019-01-01;;
